Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,ID,Item_Outlet_Sales
10.395,LF,0.05226427,Seafood,158.4604,1998,,Tier 3,Grocery Store,FDH21OUT010,158.4604
10.195,Low Fat,0.112203445,Hard Drinks,111.786,2004,Small,Tier 2,Supermarket Type1,DRO47OUT035,1697.79
,Low Fat,0.171761077,Fruits and Vegetables,115.7518,1985,Medium,Tier 3,Supermarket Type3,FDC44OUT027,5351.0346
9.695,Low Fat,0.114170506,Health and Hygiene,158.9604,2002,,Tier 2,Supermarket Type1,NCL29OUT045,1743.0644
19.35,Regular,0.082266419,Baking Goods,48.8034,1997,Small,Tier 1,Supermarket Type1,FDL48OUT046,340.2238
16.7,Regular,0.038685176,Snack Foods,146.6102,2009,Medium,Tier 3,Supermarket Type2,FDJ21OUT018,2770.3938
5.985,LF,0.095795326,Frozen Foods,128.4678,1997,Small,Tier 1,Supermarket Type1,FDT40OUT046,508.6712
8.85,Low Fat,0.026814124,Household,103.7964,1998,,Tier 3,Grocery Store,NCD43OUT010,210.3928
15.7,Low Fat,0.045203854,Frozen Foods,180.266,1997,Small,Tier 1,Supermarket Type1,FDM28OUT046,1617.894
12.5,Low Fat,0.020697723,Breads,198.8742,1997,Small,Tier 1,Supermarket Type1,FDR35OUT046,5773.1518
19.35,Low Fat,0.027827268,Health and Hygiene,65.6168,2009,Medium,Tier 3,Supermarket Type2,NCP17OUT018,383.5008
7.72,Regular,0.074883035,Breads,79.8986,2002,,Tier 2,Supermarket Type1,FDT23OUT045,1090.5804
17.2,Low Fat,0.156298858,Meat,162.1578,1997,Small,Tier 1,Supermarket Type1,FDX15OUT046,1283.6624
,Low Fat,0.019412192,Household,166.5474,1985,Medium,Tier 3,Supermarket Type3,NCU42OUT027,4379.6324
,Low Fat,0.105324246,Breads,125.7046,1985,Medium,Tier 3,Supermarket Type3,FDV23OUT027,3237.1196
,Regular,0.019227816,Snack Foods,163.9842,1985,Small,Tier 1,Grocery Store,FDY34OUT019,331.5684
8.895,Low Fat,0.044093978,Frozen Foods,208.3954,1998,,Tier 3,Grocery Store,FDE16OUT010,1041.977
20.2,Regular,0.117599259,Baking Goods,195.311,2002,,Tier 2,Supermarket Type1,FDV60OUT045,3338.987
20.5,Low Fat,0.036140297,Fruits and Vegetables,120.0756,1997,Small,Tier 1,Supermarket Type1,FDQ44OUT046,2302.3364
17.6,Low Fat,0.104791689,Snack Foods,165.2868,1987,High,Tier 3,Supermarket Type1,FDZ09OUT013,3111.9492
11.15,Low Fat,0.057021156,Baking Goods,106.8622,1999,Medium,Tier 1,Supermarket Type1,FDW36OUT049,2011.3818
,LF,0.026058181,Household,121.9098,1985,Medium,Tier 3,Supermarket Type3,NCZ30OUT027,3374.2744
19.6,Regular,0.12829573,Snack Foods,167.2816,2002,,Tier 2,Supermarket Type1,FDL09OUT045,2013.3792
10.895,Regular,0.03263762,Frozen Foods,147.7102,2007,,Tier 2,Supermarket Type1,FDE05OUT017,1895.5326
13.85,LF,0.034765901,Hard Drinks,114.2492,2007,,Tier 2,Supermarket Type1,DRO35OUT017,1853.5872
15.1,Low Fat,0.095696334,Baking Goods,159.7604,2007,,Tier 2,Supermarket Type1,FDN60OUT017,2693.8268
15,Low Fat,0.071371458,Health and Hygiene,125.2362,1997,Small,Tier 1,Supermarket Type1,NCZ29OUT046,1384.1982
12.85,Low Fat,0.022696131,Fruits and Vegetables,179.9318,2009,Medium,Tier 3,Supermarket Type2,FDX08OUT018,2706.477
16.85,Regular,0.267565911,Frozen Foods,194.1478,1998,,Tier 3,Grocery Store,FDZ16OUT010,1162.4868
15.5,Low Fat,0.053327763,Soft Drinks,44.477,1987,High,Tier 3,Supermarket Type1,DRL37OUT013,865.54
15.85,Regular,0.007145063,Snack Foods,41.048,2004,Small,Tier 2,Supermarket Type1,FDL21OUT035,479.376
21.2,Low Fat,0.071076055,Snack Foods,174.837,2007,,Tier 2,Supermarket Type1,FDW10OUT017,5469.547
13.35,Low Fat,0.139426044,Frozen Foods,148.3392,2004,Small,Tier 2,Supermarket Type1,FDB53OUT035,3877.6192
6.11,Regular,0.151925271,Soft Drinks,46.6086,2004,Small,Tier 2,Supermarket Type1,DRM49OUT035,624.5204
13,Low Fat,0.099479703,Household,44.906,1999,Medium,Tier 1,Supermarket Type1,NCD06OUT049,652.484
,Low Fat,0.045900448,Snack Foods,118.9124,1985,Medium,Tier 3,Supermarket Type3,FDN10OUT027,2844.2976
,Low Fat,0.21799414,Canned,266.5884,1985,Small,Tier 1,Grocery Store,FDS13OUT019,1324.942
6.425,Low Fat,0.010454459,Canned,115.6808,1999,Medium,Tier 1,Supermarket Type1,FDH38OUT049,1406.1696
,Low Fat,0.172641213,Snack Foods,195.111,1985,Medium,Tier 3,Supermarket Type3,FDY21OUT027,5303.097
12,Low Fat,0.075701524,Baking Goods,124.6388,2002,,Tier 2,Supermarket Type1,FDT60OUT045,2105.2596
7.535,Low Fat,0.081914677,Soft Drinks,120.344,1999,Medium,Tier 1,Supermarket Type1,DRZ24OUT049,3835.008
7.68,Low Fat,0.071010513,Fruits and Vegetables,190.9162,1999,Medium,Tier 1,Supermarket Type1,FDW56OUT049,5195.2374
14.7,Low Fat,0.072444983,Fruits and Vegetables,48.6034,2002,,Tier 2,Supermarket Type1,FDG57OUT045,194.4136
10.3,Low Fat,0.069981909,Dairy,263.0226,1987,High,Tier 3,Supermarket Type1,FDY14OUT013,6079.4198
13.8,Regular,0.06457046,Fruits and Vegetables,76.2012,2007,,Tier 2,Supermarket Type1,FDS19OUT017,1669.8264
10.1,Low Fat,0.024159767,Canned,114.715,2004,Small,Tier 2,Supermarket Type1,FDX01OUT035,815.605
7.785,Low Fat,0.089210159,Fruits and Vegetables,64.251,2007,,Tier 2,Supermarket Type1,FDV32OUT017,1328.271
13.8,Low Fat,0.097611115,Dairy,54.893,2007,,Tier 2,Supermarket Type1,DRI39OUT017,679.116
11.8,Low Fat,0.058975504,Health and Hygiene,81.7618,2009,Medium,Tier 3,Supermarket Type2,NCU05OUT018,966.7416
10.5,Low Fat,0.027430696,Household,171.1106,2007,,Tier 2,Supermarket Type1,NCA29OUT017,3593.3226
,Regular,0,Snack Foods,58.7588,1985,Small,Tier 1,Grocery Store,FDO10OUT019,400.8116
19.7,LF,0.038815341,Hard Drinks,124.2362,2002,,Tier 2,Supermarket Type1,DRL47OUT045,1887.543
,Low Fat,0.152632413,Dairy,98.441,1985,Small,Tier 1,Grocery Store,FDA50OUT019,96.541
,LF,0.021618297,Breads,167.1184,1985,Medium,Tier 3,Supermarket Type3,FDU23OUT027,2476.776
15.1,Regular,0.096491904,Meat,134.4942,2009,Medium,Tier 3,Supermarket Type2,FDR27OUT018,1854.9188
16.2,Low Fat,0.033568871,Soft Drinks,74.9696,2007,,Tier 2,Supermarket Type1,DRH36OUT017,2162.5184
11.3,Regular,0.054507422,Meat,96.3094,1987,High,Tier 3,Supermarket Type1,FDZ51OUT013,666.4658
,Regular,0.063079544,Frozen Foods,175.7712,1985,Small,Tier 1,Grocery Store,FDQ40OUT019,351.5424
,Low Fat,0.064208126,Frozen Foods,180.1976,1985,Small,Tier 1,Grocery Store,FDB17OUT019,181.0976
19.7,Low Fat,0.041974489,Frozen Foods,108.6912,2007,,Tier 2,Supermarket Type1,FDQ16OUT017,2183.824
20.6,Regular,0.048207431,Fruits and Vegetables,188.0556,2007,,Tier 2,Supermarket Type1,FDG09OUT017,2065.3116
9.5,Low Fat,0.041065647,Hard Drinks,223.5088,2007,,Tier 2,Supermarket Type1,DRI59OUT017,4697.8848
13.5,Regular,0.128709014,Starchy Foods,96.1068,1987,High,Tier 3,Supermarket Type1,FDH47OUT013,1846.9292
13.65,Low Fat,0.03596071,Snack Foods,186.3924,1997,Small,Tier 1,Supermarket Type1,FDA21OUT046,1665.8316
7.27,Low Fat,0.046520703,Health and Hygiene,97.7384,1987,High,Tier 3,Supermarket Type1,NCO05OUT013,591.2304
,Low Fat,0.210596485,Others,144.747,1985,Small,Tier 1,Grocery Store,NCL31OUT019,143.147
6.86,Low Fat,0.03674399,Household,231.201,2007,,Tier 2,Supermarket Type1,NCH42OUT017,6201.927
14.7,Low Fat,0.072238195,Fruits and Vegetables,47.5034,1987,High,Tier 3,Supermarket Type1,FDG57OUT013,972.068
,Low Fat,0.034141213,Household,211.9218,1985,Medium,Tier 3,Supermarket Type3,NCQ50OUT027,3419.5488
9.195,Low Fat,0.101500374,Baking Goods,45.2744,2002,,Tier 2,Supermarket Type1,FDK24OUT045,679.116
14.15,Low Fat,0.042246575,Dairy,54.2982,1999,Medium,Tier 1,Supermarket Type1,DRG39OUT049,1104.5622
12.3,Regular,0.058105769,Snack Foods,60.4562,2004,Small,Tier 2,Supermarket Type1,FDX46OUT035,1777.686
11.8,Regular,0.170141787,Canned,116.7834,1987,High,Tier 3,Supermarket Type1,FDY01OUT013,2303.668
13.6,Regular,0.049579883,Frozen Foods,110.0912,2004,Small,Tier 2,Supermarket Type1,FDJ40OUT035,1965.4416
11.6,Low Fat,0,Canned,178.2686,1999,Medium,Tier 1,Supermarket Type1,FDS01OUT049,1955.4546
15,Low Fat,0.058725134,Snack Foods,43.6744,2007,,Tier 2,Supermarket Type1,FDJ09OUT017,407.4696
7,Low Fat,0,Canned,105.628,1999,Medium,Tier 1,Supermarket Type1,FDT49OUT049,1384.864
13.1,Low Fat,0.075695552,Dairy,168.4158,1999,Medium,Tier 1,Supermarket Type1,FDW50OUT049,1504.0422
11.3,Low Fat,0.007321067,Meat,197.7426,2007,,Tier 2,Supermarket Type1,FDV39OUT017,2570.6538
12.3,Low Fat,0.009463757,Baking Goods,73.838,2007,,Tier 2,Supermarket Type1,FDY36OUT017,1245.046
10,Low Fat,0.021407511,Household,248.175,1987,High,Tier 3,Supermarket Type1,NCE18OUT013,3495.45
,Low Fat,0.145669556,Frozen Foods,247.2776,1985,Small,Tier 1,Grocery Store,FDB05OUT019,743.0328
6.98,Low Fat,0.041273236,Canned,82.4934,2009,Medium,Tier 3,Supermarket Type2,FDK14OUT018,982.7208
19,Low Fat,0.128090139,Snack Foods,107.0622,1997,Small,Tier 1,Supermarket Type1,FDP10OUT046,1376.2086
17,Low Fat,0.135707553,Fruits and Vegetables,172.5106,2004,Small,Tier 2,Supermarket Type1,FDC45OUT035,2053.3272
15.15,Low Fat,0.027774002,Baking Goods,152.3708,2004,Small,Tier 2,Supermarket Type1,FDS48OUT035,3159.8868
,Regular,0.07278643,Frozen Foods,49.4376,1985,Small,Tier 1,Grocery Store,FDX04OUT019,191.7504
,low fat,0.029640604,Fruits and Vegetables,40.8138,1985,Medium,Tier 3,Supermarket Type3,FDQ20OUT027,1543.3244
8.355,Low Fat,0.187939003,Canned,146.9418,2002,,Tier 2,Supermarket Type1,FDU13OUT045,1029.9926
12.15,Low Fat,0.14492016,Health and Hygiene,224.4404,1987,High,Tier 3,Supermarket Type1,NCR53OUT013,1800.3232
17.25,Regular,0.125419157,Breakfast,40.048,1999,Medium,Tier 1,Supermarket Type1,FDN49OUT049,399.48
6.46,Regular,0.049121972,Fruits and Vegetables,144.6102,1987,High,Tier 3,Supermarket Type1,FDR31OUT013,2916.204
,Low Fat,0,Dairy,175.3028,1985,Medium,Tier 3,Supermarket Type3,DRI03OUT027,3719.1588
5.78,Regular,0.074149074,Snack Foods,262.2568,1997,Small,Tier 1,Supermarket Type1,FDL58OUT046,5273.136
18.7,Low Fat,0.04604992,Health and Hygiene,151.9682,1987,High,Tier 3,Supermarket Type1,NCJ05OUT013,3354.3004
19.2,Low Fat,0.035384612,Snack Foods,180.3318,2007,,Tier 2,Supermarket Type1,FDS10OUT017,3428.2042
,Low Fat,0.038340116,Snack Foods,240.1564,1985,Medium,Tier 3,Supermarket Type3,FDK34OUT027,7150.692
,Low Fat,0,Baking Goods,81.8618,1985,Small,Tier 1,Grocery Store,FDW48OUT019,161.1236
,Low Fat,0.049080853,Fruits and Vegetables,147.7734,1985,Medium,Tier 3,Supermarket Type3,FDE08OUT027,4602.6754
,Low Fat,0.076183667,Household,245.646,1985,Medium,Tier 3,Supermarket Type3,NCH06OUT027,3695.19
7.35,Low Fat,0.028711412,Fruits and Vegetables,39.9454,2009,Medium,Tier 3,Supermarket Type2,FDV08OUT018,377.5086
20.35,Regular,0,Meat,81.6276,1997,Small,Tier 1,Supermarket Type1,FDQ15OUT046,1787.0072
,Low Fat,0.12517151,Fruits and Vegetables,88.9198,1985,Medium,Tier 3,Supermarket Type3,FDL56OUT027,3139.9128
17.85,Low Fat,0.037826873,Soft Drinks,189.7188,1997,Small,Tier 1,Supermarket Type1,DRC12OUT046,2285.0256
4.615,Regular,0.101747034,Canned,231.33,1987,High,Tier 3,Supermarket Type1,FDX49OUT013,4660.6
15,low fat,0,Snack Foods,47.2744,2004,Small,Tier 2,Supermarket Type1,FDJ09OUT035,679.116
,Regular,0.075142108,Breads,145.8444,1985,Medium,Tier 3,Supermarket Type3,FDN23OUT027,3773.7544
12.1,Regular,0.061424738,Soft Drinks,56.7614,2009,Medium,Tier 3,Supermarket Type2,DRD01OUT018,1049.9666
11.65,Low Fat,0.040597054,Fruits and Vegetables,187.324,2002,,Tier 2,Supermarket Type1,FDS43OUT045,1864.24
,Low Fat,0.041556697,Baking Goods,104.4332,1985,Small,Tier 1,Grocery Store,FDY48OUT019,307.5996
15.5,Regular,0.126791761,Baking Goods,262.1568,1998,,Tier 3,Grocery Store,FDU12OUT010,527.3136
9.195,Regular,0.117484834,Snack Foods,158.5578,1997,Small,Tier 1,Supermarket Type1,FDX33OUT046,2406.867
15.1,Regular,0.106097275,Fruits and Vegetables,43.2796,2009,Medium,Tier 3,Supermarket Type2,FDH45OUT018,123.8388
5.095,Regular,0.129395895,Snack Foods,140.3838,1987,High,Tier 3,Supermarket Type1,FDJ10OUT013,1826.2894
15.1,Regular,0.100265027,Fruits and Vegetables,142.5786,2009,Medium,Tier 3,Supermarket Type2,FDX32OUT018,3323.0078
12.1,Low Fat,0.011557563,Dairy,165.3526,1999,Medium,Tier 1,Supermarket Type1,DRG51OUT049,3453.5046
6.235,Low Fat,0.119157788,Household,263.791,2009,Medium,Tier 3,Supermarket Type2,NCB31OUT018,2103.928
15,Low Fat,0.077622622,Breads,121.8414,1998,,Tier 3,Grocery Store,FDW47OUT010,243.6828
,Low Fat,0.041194986,Fruits and Vegetables,39.1164,1985,Medium,Tier 3,Supermarket Type3,FDT20OUT027,1235.7248
10.65,Regular,0.085135953,Snack Foods,232.3668,1997,Small,Tier 1,Supermarket Type1,FDI34OUT046,3685.8688
9.8,Regular,0.106816919,Fruits and Vegetables,114.2492,1998,,Tier 3,Grocery Store,FDH56OUT010,463.3968
18.25,Low Fat,0.04421348,Hard Drinks,173.408,1987,High,Tier 3,Supermarket Type1,DRJ47OUT013,1038.648
,Low Fat,0.013745883,Frozen Foods,62.0168,1985,Medium,Tier 3,Supermarket Type3,FDP04OUT027,1534.0032
19.6,Low Fat,0.094308058,Household,251.8698,1999,Medium,Tier 1,Supermarket Type1,NCZ06OUT049,3551.3772
17,Regular,0.026622757,Canned,144.247,2002,,Tier 2,Supermarket Type1,FDY37OUT045,3149.234
9.6,Regular,0.014234595,Snack Foods,190.2872,1999,Medium,Tier 1,Supermarket Type1,FDO46OUT049,4727.18
8.51,Regular,0.078526225,Snack Foods,173.5422,1999,Medium,Tier 1,Supermarket Type1,FDI10OUT049,5000.8238
5.88,Low Fat,0.0249887,Household,150.3392,2009,Medium,Tier 3,Supermarket Type2,NCT42OUT018,447.4176
8.905,LF,0.143712172,Frozen Foods,60.2878,2009,Medium,Tier 3,Supermarket Type2,FDE29OUT018,1151.1682
,Regular,0.067373081,Breads,258.8988,1985,Medium,Tier 3,Supermarket Type3,FDQ11OUT027,3083.9856
8.85,Low Fat,0.053822086,Fruits and Vegetables,183.8292,1987,High,Tier 3,Supermarket Type1,FDS20OUT013,2554.0088
20.7,Low Fat,0.043011277,Dairy,177.2028,2009,Medium,Tier 3,Supermarket Type2,FDR26OUT018,3364.9532
,Low Fat,0.123557061,Household,216.6192,1985,Small,Tier 1,Grocery Store,NCH43OUT019,215.7192
6.3,Low Fat,0.127968205,Canned,209.627,2009,Medium,Tier 3,Supermarket Type2,FDO25OUT018,3984.813
17.5,Regular,0.007570599,Dairy,144.6102,2009,Medium,Tier 3,Supermarket Type2,FDB40OUT018,2187.153
,Regular,0,Canned,92.312,1985,Small,Tier 1,Grocery Store,FDB14OUT019,372.848
5.765,Low Fat,0.081996785,Baking Goods,40.1164,2004,Small,Tier 2,Supermarket Type1,FDW23OUT035,540.6296
17.75,Regular,0.067777778,Baking Goods,186.924,2009,Medium,Tier 3,Supermarket Type2,FDZ23OUT018,3169.208
5.035,Regular,0.080362549,Breads,229.0036,2007,,Tier 2,Supermarket Type1,FDX35OUT017,4326.3684
8.355,Low Fat,0.013929059,Baking Goods,94.1462,1997,Small,Tier 1,Supermarket Type1,FDX24OUT046,2221.1088
6.13,Low Fat,0.077169953,Dairy,63.0536,2007,,Tier 2,Supermarket Type1,DRG15OUT017,1225.072
10.5,Regular,0,Baking Goods,143.3128,1997,Small,Tier 1,Supermarket Type1,FDY60OUT046,1438.128
12.5,Low Fat,0.112681821,Canned,119.144,2009,Medium,Tier 3,Supermarket Type2,FDK02OUT018,3235.788
,Low Fat,0.10080442,Baking Goods,45.4744,1985,Medium,Tier 3,Supermarket Type3,FDK24OUT027,1041.3112
20.75,Low Fat,0.02512588,Health and Hygiene,150.4734,2004,Small,Tier 2,Supermarket Type1,NCA05OUT035,890.8404
,Regular,0.122519571,Snack Foods,93.0436,1985,Medium,Tier 3,Supermarket Type3,FDN33OUT027,2363.59
13.35,Regular,0.15021128,Snack Foods,179.066,2007,,Tier 2,Supermarket Type1,FDA09OUT017,2696.49
7.96,Low Fat,0.028357839,Canned,163.2894,2004,Small,Tier 2,Supermarket Type1,FDK50OUT035,4530.1032
8.92,Low Fat,0.130663423,Household,175.237,2007,,Tier 2,Supermarket Type1,NCE55OUT017,2117.244
6.635,Regular,0.006335942,Baking Goods,121.8098,1999,Medium,Tier 1,Supermarket Type1,FDG12OUT049,2048.6666
15.5,Low Fat,0.032845997,Baking Goods,106.7938,1987,High,Tier 3,Supermarket Type1,FDC37OUT013,3215.814
6.13,Low Fat,0.076735903,Dairy,62.4536,1997,Small,Tier 1,Supermarket Type1,DRG15OUT046,1225.072
7.315,Low Fat,0.01530184,Snack Foods,154.434,1997,Small,Tier 1,Supermarket Type1,FDQ58OUT046,1378.206
16,Regular,0.029377239,Meat,46.1718,1998,,Tier 3,Grocery Store,FDQ51OUT010,94.5436
16.85,Low Fat,0.233356571,Snack Foods,146.576,1998,,Tier 3,Grocery Store,FDR46OUT010,439.428
15.85,Low Fat,0.137053947,Canned,94.4094,2009,Medium,Tier 3,Supermarket Type2,FDC50OUT018,1047.3034
15,Low Fat,0,Snack Foods,43.4744,1997,Small,Tier 1,Supermarket Type1,FDJ09OUT046,543.2928
19.1,Low Fat,0.177236497,Household,172.3422,2004,Small,Tier 2,Supermarket Type1,NCC18OUT035,2586.633
19,Low Fat,0.111830282,Frozen Foods,105.4622,1987,High,Tier 3,Supermarket Type1,FDL04OUT013,952.7598
13.5,Low Fat,0,Baking Goods,84.654,1999,Medium,Tier 1,Supermarket Type1,FDH48OUT049,1211.756
16.75,Regular,0.008204465,Canned,99.8674,1999,Medium,Tier 1,Supermarket Type1,FDD38OUT049,2342.9502
,Regular,0.02439015,Breads,95.9068,1985,Medium,Tier 3,Supermarket Type3,FDT47OUT027,3207.8244
9.195,Regular,0.064143995,Frozen Foods,85.9566,2002,,Tier 2,Supermarket Type1,FDE41OUT045,1691.132
19.35,Low Fat,0.033275634,Meat,173.8738,2007,,Tier 2,Supermarket Type1,FDH19OUT017,2432.8332
11.8,Regular,0.107662745,Dairy,224.1772,2007,,Tier 2,Supermarket Type1,FDW26OUT017,2890.9036
10.6,Low Fat,0.01115195,Breads,40.6454,2007,,Tier 2,Supermarket Type1,FDW35OUT017,167.7816
13.65,Regular,0.013064516,Fruits and Vegetables,115.5834,2002,,Tier 2,Supermarket Type1,FDQ55OUT045,1382.2008
14.85,Regular,0.009954237,Snack Foods,158.263,1999,Medium,Tier 1,Supermarket Type1,FDV22OUT049,2659.871
,Low Fat,0.021214364,Health and Hygiene,48.2034,1985,Small,Tier 1,Grocery Store,NCN29OUT019,97.2068
13.5,Regular,0.067859568,Dairy,60.1562,2004,Small,Tier 2,Supermarket Type1,FDQ26OUT035,1599.9174
5.635,Low Fat,0.103481775,Baking Goods,150.005,2002,,Tier 2,Supermarket Type1,FDV24OUT045,1797.66
7.405,Low Fat,0.015358176,Canned,92.4146,2007,,Tier 2,Supermarket Type1,FDG50OUT017,1459.4336
,Low Fat,0.293066133,Household,177.0712,1985,Small,Tier 1,Grocery Store,NCF42OUT019,351.5424
11.35,Low Fat,0.030981392,Snack Foods,51.9008,2007,,Tier 2,Supermarket Type1,FDT46OUT017,708.4112
,Low Fat,0,Soft Drinks,153.8024,1985,Medium,Tier 3,Supermarket Type3,DRE49OUT027,7741.9224
16.1,Regular,0.013623294,Fruits and Vegetables,109.3596,2002,,Tier 2,Supermarket Type1,FDV56OUT045,1186.4556
17.7,Regular,0.041098734,Fruits and Vegetables,80.9276,2009,Medium,Tier 3,Supermarket Type2,FDD32OUT018,487.3656
13.1,Low Fat,0.01209726,Others,188.853,2004,Small,Tier 2,Supermarket Type1,NCN19OUT035,3225.801
14.3,reg,0.034382602,Baking Goods,96.5726,1987,High,Tier 3,Supermarket Type1,FDQ48OUT013,2251.0698
,Low Fat,0.035406842,Snack Foods,244.317,1985,Medium,Tier 3,Supermarket Type3,FDW34OUT027,8262.578
8.6,Low Fat,0.090374342,Household,114.3176,2002,,Tier 2,Supermarket Type1,NCS38OUT045,1946.7992
5.78,Regular,0.074451126,Snack Foods,264.5568,2009,Medium,Tier 3,Supermarket Type2,FDL58OUT018,6327.7632
8.195,Low Fat,0.031467128,Baking Goods,91.8462,2002,,Tier 2,Supermarket Type1,FDY59OUT045,2313.655
13.65,Regular,0.078786674,Dairy,184.824,1997,Small,Tier 1,Supermarket Type1,FDZ03OUT046,3355.632
17.35,Low Fat,0.056032247,Baking Goods,102.3016,2002,,Tier 2,Supermarket Type1,FDP60OUT045,1619.2256
20.25,Low Fat,0.058935522,Household,246.646,1997,Small,Tier 1,Supermarket Type1,NCI30OUT046,2463.46
,Regular,0.064577332,Meat,230.5352,1985,Small,Tier 1,Grocery Store,FDO03OUT019,687.1056
16.1,Low Fat,0.034306962,Fruits and Vegetables,252.3356,1997,Small,Tier 1,Supermarket Type1,FDZ20OUT046,3815.034
,Regular,0.053586458,Fruits and Vegetables,89.7856,1985,Medium,Tier 3,Supermarket Type3,FDQ31OUT027,966.7416
17.6,Regular,0.076431919,Meat,113.2202,2009,Medium,Tier 3,Supermarket Type2,FDY03OUT018,2025.3636
18,Low Fat,0.039090105,Snack Foods,148.4418,2002,,Tier 2,Supermarket Type1,FDW45OUT045,4119.9704
12.5,Low Fat,0.031549131,Health and Hygiene,99.0384,1998,,Tier 3,Grocery Store,NCO41OUT010,197.0768
9.065,Low Fat,0.115233813,Frozen Foods,94.4094,1987,High,Tier 3,Supermarket Type1,FDK16OUT013,2856.282
16.85,Regular,0.159825617,Frozen Foods,195.5478,2004,Small,Tier 2,Supermarket Type1,FDZ16OUT035,4262.4516
16,Low Fat,0.073080167,Household,228.4668,2007,,Tier 2,Supermarket Type1,NCD18OUT017,2534.0348
9.3,Low Fat,0.066727717,Frozen Foods,181.6292,1987,High,Tier 3,Supermarket Type1,FDF52OUT013,2371.5796
6.215,Low Fat,0.012146608,Fruits and Vegetables,37.9848,2004,Small,Tier 2,Supermarket Type1,FDF09OUT035,782.9808
20.1,Regular,0.022552083,Fruits and Vegetables,226.6036,2007,,Tier 2,Supermarket Type1,FDW43OUT017,6831.108
8.77,Regular,0.047036036,Fruits and Vegetables,170.5422,2007,,Tier 2,Supermarket Type1,FDU19OUT017,2759.0752
16.25,Low Fat,0.087158654,Dairy,95.141,2004,Small,Tier 2,Supermarket Type1,FDA50OUT035,2220.443
15.15,Low Fat,0.027756137,Baking Goods,150.4708,1987,High,Tier 3,Supermarket Type1,FDS48OUT013,2106.5912
13.15,Low Fat,0.092589917,Household,159.5604,1987,High,Tier 3,Supermarket Type1,NCH07OUT013,1901.5248
12.15,Low Fat,0,Household,117.615,1987,High,Tier 3,Supermarket Type1,NCK54OUT013,1514.695
,Low Fat,0.077427883,Frozen Foods,41.8454,1985,Small,Tier 1,Grocery Store,FDD53OUT019,41.9454
20.85,Low Fat,0.121227447,Snack Foods,197.5452,2004,Small,Tier 2,Supermarket Type1,FDV58OUT035,4306.3944
18.2,Regular,0.066284519,Fruits and Vegetables,247.2092,2004,Small,Tier 2,Supermarket Type1,FDI08OUT035,3486.1288
8.3,Low Fat,0.03549838,Fruits and Vegetables,36.6506,2009,Medium,Tier 3,Supermarket Type2,FDD08OUT018,455.4072
6.195,Low Fat,0.072131519,Snack Foods,120.1098,2002,,Tier 2,Supermarket Type1,FDX34OUT045,2892.2352
15.1,Low Fat,0,Fruits and Vegetables,216.4166,2002,,Tier 2,Supermarket Type1,FDX55OUT045,2830.3158
11.5,Low Fat,0.021020616,Health and Hygiene,130.7942,2002,,Tier 2,Supermarket Type1,NCS05OUT045,2782.3782
19,Low Fat,0.111902259,Frozen Foods,105.4622,2004,Small,Tier 2,Supermarket Type1,FDL04OUT035,1905.5196
10.5,Low Fat,0.071548187,Frozen Foods,120.2098,2009,Medium,Tier 3,Supermarket Type2,FDJ53OUT018,602.549
8.8,Low Fat,0.071540443,Snack Foods,210.6612,1999,Medium,Tier 1,Supermarket Type1,FDB47OUT049,2508.7344
,Low Fat,0.121765124,Health and Hygiene,264.1884,1985,Small,Tier 1,Grocery Store,NCS29OUT019,264.9884
17.75,Low Fat,0.014609738,Fruits and Vegetables,160.4262,2002,,Tier 2,Supermarket Type1,FDB33OUT045,3182.524
,Regular,0.080697998,Frozen Foods,39.8506,1985,Small,Tier 1,Grocery Store,FDL52OUT019,37.9506
17.75,Regular,0.156802171,Dairy,242.1538,2004,Small,Tier 2,Supermarket Type1,FDB03OUT035,4326.3684
20.75,Low Fat,0.024144862,Fruits and Vegetables,123.373,2004,Small,Tier 2,Supermarket Type1,FDW20OUT035,2093.941
16.7,Regular,0.062297249,Snack Foods,60.6562,2009,Medium,Tier 3,Supermarket Type2,FDT10OUT018,592.562
,Low Fat,0.052058711,Frozen Foods,55.5588,1985,Medium,Tier 3,Supermarket Type3,FDK04OUT027,1145.176
13.85,Low Fat,0.031402114,Others,40.248,2002,,Tier 2,Supermarket Type1,NCL07OUT045,319.584
15.35,Regular,0.113217223,Fruits and Vegetables,191.1504,1997,Small,Tier 1,Supermarket Type1,FDZ31OUT046,1725.7536
12.1,Low Fat,0,Fruits and Vegetables,177.3002,2004,Small,Tier 2,Supermarket Type1,FDE45OUT035,3044.7034
12.15,Low Fat,0,Household,118.515,2009,Medium,Tier 3,Supermarket Type2,NCK54OUT018,1398.18
,Low Fat,0.031139933,Dairy,74.8012,1985,Small,Tier 1,Grocery Store,DRE15OUT019,303.6048
16.35,Low Fat,0.013363902,Others,106.128,2004,Small,Tier 2,Supermarket Type1,NCQ38OUT035,1917.504
,Low Fat,0.030952737,Fruits and Vegetables,160.1578,1985,Medium,Tier 3,Supermarket Type3,FDB08OUT027,3048.6982
7.27,Low Fat,0.07136748,Soft Drinks,111.8518,2009,Medium,Tier 3,Supermarket Type2,DRF49OUT018,2277.036
